codigo_ibge,nome,latitude,longitude
2600054,Abreu e Lima,-7.90072,-34.8984
2600104,Afogados da Ingazeira,-7.74312,-37.631
2600203,Afrânio,-8.51136,-41.0095
2600302,Agrestina,-8.45966,-35.9447
2600609,Alagoinha,-8.4665,-36.7788
2600708,Aliança,-7.60398,-35.2227
2600807,Altinho,-8.48482,-36.0644
2600906,Amaraji,-8.37691,-35.4501
2601003,Angelim,-8.88429,-36.2902
2601102,Araripina,-7.57073,-40.494
2601052,Araçoiaba,-7.78391,-35.0809
2601201,Arcoverde,-8.41519,-37.0577
2601300,Barra de Guabiraba,-8.42075,-35.6585
2601409,Barreiros,-8.81605,-35.1832
2601706,Belo Jardim,-8.3313,-36.4258
2601508,Belém de Maria,-8.62504,-35.8335
2601607,Belém do São Francisco,-8.75046,-38.9623
2601805,Betânia,-8.26787,-38.0345
2601904,Bezerros,-8.2328,-35.796
2602001,Bodocó,-7.77759,-39.9338
2602100,Bom Conselho,-9.16919,-36.6857
2602209,Bom Jardim,-7.79695,-35.5784
2602308,Bonito,-8.47163,-35.7292
2602506,Brejinho,-7.34694,-37.2865
2602605,Brejo da Madre de Deus,-8.14933,-36.3741
2602407,Brejão,-9.02915,-36.566
2602704,Buenos Aires,-7.72449,-35.3182
2602803,Buíque,-8.61954,-37.1606
2602902,Cabo de Santo Agostinho,-8.28218,-35.0253
2603009,Cabrobó,-8.50548,-39.3094
2603108,Cachoeirinha,-8.48668,-36.2402
2603207,Caetés,-8.7803,-36.6268
2603405,Calumbi,-7.93551,-38.1482
2603306,Calçado,-8.73108,-36.3366
2603454,Camaragibe,-8.02351,-34.9782
2603504,Camocim de São Félix,-8.35865,-35.7653
2603603,Camutanga,-7.40545,-35.2664
2603702,Canhotinho,-8.87652,-36.1979
2603801,Capoeiras,-8.73423,-36.6306
2603926,Carnaubeira da Penha,-8.31799,-38.7512
2603900,Carnaíba,-7.79342,-37.7946
2604007,Carpina,-7.84566,-35.2514
2604106,Caruaru,-8.28455,-35.9699
2604155,Casinhas,-7.74084,-35.7206
2604205,Catende,-8.67509,-35.7024
2604304,Cedro,-7.71179,-39.2367
2604502,Chã Grande,-8.23827,-35.4571
2604403,Chã de Alegria,-8.00679,-35.204
2604601,Condado,-7.58787,-35.0999
2604700,Correntes,-9.12117,-36.3244
2604809,Cortês,-8.47443,-35.5468
2604908,Cumaru,-8.00827,-35.6957
2605004,Cupira,-8.62432,-35.9518
2605103,Custódia,-8.08546,-37.6443
2605152,Dormentes,-8.44116,-40.7662
2605202,Escada,-8.35672,-35.2241
2605301,Exu,-7.50364,-39.7238
2605400,Feira Nova,-7.94704,-35.3801
2605459,Fernando de Noronha,-3.8396,-32.4107
2605509,Ferreiros,-7.44666,-35.2373
2605608,Flores,-7.85842,-37.9715
2605707,Floresta,-8.60307,-38.5687
2605806,Frei Miguelinho,-7.93918,-35.9113
2605905,Gameleira,-8.5798,-35.3846
2606002,Garanhuns,-8.88243,-36.4966
2606101,Glória do Goitá,-8.00568,-35.2904
2606200,Goiana,-7.5606,-34.9959
2606309,Granito,-7.70711,-39.615
2606408,Gravatá,-8.21118,-35.5675
2606507,Iati,-9.04559,-36.8498
2606606,Ibimirim,-8.54026,-37.7032
2606705,Ibirajuba,-8.57633,-36.1812
2606804,Igarassu,-7.82881,-34.9013
2606903,Iguaracy,-7.83222,-37.5082
2607604,Ilha de Itamaracá,-7.74766,-34.8303
2607000,Inajá,-8.90206,-37.8351
2607109,Ingazeira,-7.66909,-37.4576
2607208,Ipojuca,-8.39303,-35.0609
2607307,Ipubi,-7.64505,-40.1476
2607406,Itacuruba,-8.82231,-38.6975
2607653,Itambé,-7.41403,-35.0963
2607703,Itapetim,-7.37178,-37.1863
2607752,Itapissuma,-7.76798,-34.8971
2607802,Itaquitinga,-7.66373,-35.1002
2607505,Itaíba,-8.94569,-37.4173
2607901,Jaboatão dos Guararapes,-8.11298,-35.015
2607950,Jaqueira,-8.72618,-35.7942
2608008,Jataúba,-7.97668,-36.4943
2608057,Jatobá,-9.17476,-38.2607
2608206,Joaquim Nabuco,-8.62281,-35.5288
2608107,João Alfredo,-7.86565,-35.5787
2608255,Jucati,-8.70195,-36.4871
2608305,Jupi,-8.70904,-36.4126
2608404,Jurema,-8.70714,-36.1347
2608750,Lagoa Grande,-8.99452,-40.2767
2608503,Lagoa de Itaenga,-7.93005,-35.2874
2608453,Lagoa do Carro,-7.84383,-35.3108
2608602,Lagoa do Ouro,-9.12567,-36.4584
2608701,Lagoa dos Gatos,-8.6602,-35.904
2608800,Lajedo,-8.65791,-36.3293
2608909,Limoeiro,-7.8726,-35.4402
2609006,Macaparana,-7.55564,-35.4425
2609105,Machados,-7.68827,-35.5114
2609154,Manari,-8.9649,-37.6313
2609204,Maraial,-8.79062,-35.8266
2609303,Mirandiba,-8.12113,-38.7388
2614303,Moreilândia,-7.61931,-39.546
2609402,Moreno,-8.10871,-35.0835
2609501,Nazaré da Mata,-7.74149,-35.2193
2609600,Olinda,-8.01017,-34.8545
2609709,Orobó,-7.74553,-35.5956
2609808,Orocó,-8.61026,-39.6026
2609907,Ouricuri,-7.87918,-40.08
2610004,Palmares,-8.68423,-35.589
2610103,Palmeirina,-9.0109,-36.3242
2610202,Panelas,-8.66121,-36.0125
2610301,Paranatama,-8.91875,-36.6549
2610400,Parnamirim,-8.08729,-39.5795
2610509,Passira,-7.9971,-35.5813
2610608,Paudalho,-7.90287,-35.1716
2610707,Paulista,-7.93401,-34.8684
2610806,Pedra,-8.49641,-36.94
2610905,Pesqueira,-8.35797,-36.6978
2611101,Petrolina,-9.38866,-40.5027
2611002,Petrolândia,-9.06863,-38.3027
2611309,Pombos,-8.13982,-35.3967
2611200,Poção,-8.18726,-36.7111
2611408,Primavera,-8.32999,-35.3544
2611507,Quipapá,-8.81175,-36.0137
2611533,Quixaba,-7.70734,-37.8446
2611606,Recife,-8.04666,-34.8771
2611705,Riacho das Almas,-8.13742,-35.8648
2611804,Ribeirão,-8.50957,-35.3698
2611903,Rio Formoso,-8.6592,-35.1532
2612000,Sairé,-8.32864,-35.6967
2612109,Salgadinho,-7.9269,-35.6503
2612208,Salgueiro,-8.07373,-39.1247
2612307,Saloá,-8.9723,-36.691
2612406,Sanharó,-8.36097,-36.5696
2612455,Santa Cruz,-8.24153,-40.3434
2612471,Santa Cruz da Baixa Verde,-7.81339,-38.1476
2612505,Santa Cruz do Capibaribe,-7.94802,-36.2061
2612554,Santa Filomena,-8.16688,-40.6079
2612604,Santa Maria da Boa Vista,-8.79766,-39.8241
2612703,Santa Maria do Cambucá,-7.83676,-35.8941
2612802,Santa Terezinha,-7.37696,-37.4787
2613909,Serra Talhada,-7.98178,-38.289
2614006,Serrita,-7.94041,-39.2951
2614105,Sertânia,-8.06847,-37.2684
2614204,Sirinhaém,-8.58778,-35.1126
2614402,Solidão,-7.59472,-37.6445
2614501,Surubim,-7.84746,-35.7481
2612901,São Benedito do Sul,-8.8166,-35.9453
2613008,São Bento do Una,-8.52637,-36.4465
2613107,São Caetano,-8.33763,-36.2869
2613305,São Joaquim do Monte,-8.43196,-35.8035
2613404,São José da Coroa Grande,-8.88937,-35.1515
2613503,São José do Belmonte,-7.85723,-38.7577
2613602,São José do Egito,-7.46945,-37.274
2613206,São João,-8.87576,-36.3653
2613701,São Lourenço da Mata,-8.00684,-35.0124
2613800,São Vicente Ferrer,-7.58969,-35.4808
2614600,Tabira,-7.58366,-37.5377
2614709,Tacaimbó,-8.30867,-36.3
2614808,Tacaratu,-9.09798,-38.1504
2614857,Tamandaré,-8.75665,-35.1033
2615003,Taquaritinga do Norte,-7.89446,-36.0423
2615102,Terezinha,-9.05621,-36.6272
2615201,Terra Nova,-8.22244,-39.3825
2615300,Timbaúba,-7.50484,-35.3119
2615409,Toritama,-8.00955,-36.0637
2615508,Tracunhaém,-7.80228,-35.2314
2615607,Trindade,-7.759,-40.2647
